icd9in,icd9un,icd10in,icd10un
,E860.41,,V83.1 
,E860.42,,V83.2 
,E860.43,,V83.3 
,E860.44,,V83.4 
,E860.45,,V83.5 
,E860.46,,V83.6 
,E860.47,,V83.7 
,E860.48,,V83.9 
,E860.49,,V84 
,E860.8,,V84.0 
,E860.80,,V84.1 
,E860.81,,V84.2 
,E860.82,,V84.3 
,E860.83,,V84.4 
,E860.84,,V84.5 
,E860.85,,V84.6 
,E860.86,,V84.7 
,E860.87,,V84.9 
,E860.88,,V85 
,E860.89,,V85.0 
,E860.9,,V85.1 
,E860.90,,V85.2 
,E860.91,,V85.3 
,E860.92,,V85.4 
,E860.93,,V85.5 
,E860.94,,V85.6 
,E860.95,,V85.7 
,E860.96,,V85.9 
,E860.97,,V86 
,E860.98,,V86.0 
,E860.99,,V86.1 
,E861,,V86.2 
,E861.0,,V86.3 
,E861.00,,V86.4 
,E861.01,,V86.5 
,E861.02,,V86.6 
,E861.03,,V86.7 
,E861.04,,V86.9 
,E861.05,,V87 
,E861.06,,V87.0 
,E861.07,,V87.1 
,E861.08,,V87.2 
,E861.09,,V87.3 
,E861.1,,V87.4 
,E861.10,,V87.5 
,E861.11,,V87.6 
,E861.12,,V87.7 
,E861.13,,V87.8 
,E861.14,,V87.9 
,E861.15,,V88 
,E861.16,,V88.0 
,E861.17,,V88.1 
,E861.18,,V88.2 
,E861.19,,V88.3 
,E861.2,,V88.4 
,E861.20,,V88.5 
,E861.21,,V88.6 
,E861.22,,V88.7 
,E861.23,,V88.8 
,E861.24,,V88.9 
,E861.25,,V89 
,E861.26,,V89.0 
,E861.27,,V89.1 
,E861.28,,V89.2 
,E861.29,,V89.3 
,E861.3,,V89.9 
,E861.30,,V90 
,E861.31,,V90.0
,E861.32,,V90.1
,E861.33,,V90.2
,E861.34,,V90.3
,E861.35,,V90.4
,E861.36,,V90.5
,E861.37,,V90.6
,E861.38,,V90.7
,E861.39,,V90.8
,E861.4,,V90.9
,E861.40,,V91 
,E861.41,,V91.0
,E861.42,,V91.1
,E861.43,,V91.2
,E861.44,,V91.3
,E861.45,,V91.4
,E861.46,,V91.5
,E861.47,,V91.6
,E861.48,,V91.7
,E861.49,,V91.8
,E861.5,,V91.9
,E861.50,,V92 
,E861.51,,V92.0
,E861.52,,V92.1
,E861.53,,V92.2
,E861.54,,V92.3
,E861.55,,V92.4
,E861.56,,V92.5
,E861.57,,V92.6
,E861.58,,V92.7
,E861.59,,V92.8
,E861.6,,V92.9
,E861.60,,V93 
,E861.61,,V93.0
,E861.62,,V93.1
,E861.63,,V93.2
,E861.64,,V93.3
,E861.65,,V93.4
,E861.66,,V93.5
,E861.67,,V93.6
,E861.68,,V93.7
,E861.69,,V93.8
,E861.9,,V93.9
,E861.90,,V94 
,E861.91,,V94.0
,E861.92,,V94.1
,E861.93,,V94.2
,E861.94,,V94.3
,E861.95,,V94.4
,E861.96,,V94.5
,E861.97,,V94.6
,E861.98,,V94.7
,E861.99,,V94.8
,E862,,V94.9
,E862.0,,V95 
,E862.00,,V95.0 
,E862.01,,V95.1 
,E862.02,,V95.2 
,E862.03,,V95.3 
,E862.04,,V95.4 
,E862.05,,V95.8 
,E862.06,,V95.9 
,E862.07,,V96 
,E862.08,,V96.0 
,E862.09,,V96.1 
,E862.1,,V96.2 
,E862.10,,V96.8 
,E862.11,,V96.9 
,E862.12,,V97 
,E862.13,,V97.0 
,E862.14,,V97.1 
,E862.15,,V97.2 
,E862.16,,V97.3 
,E862.17,,V97.8 
,E862.18,,V98 
,E862.19,,V99 
,E862.2,,W00 
,E862.20,,W01 
,E862.21,,W02 
,E862.22,,W03 
,E862.23,,W04 
,E862.24,,W05 
,E862.25,,W06 
,E862.26,,W07 
,E862.27,,W08 
,E862.28,,W09 
,E862.29,,W10 
,E862.3,,W11 
,E862.30,,W12 
,E862.31,,W13 
,E862.32,,W14 
,E862.33,,W15 
,E862.34,,W16 
,E862.35,,W17 
,E862.36,,W18 
,E862.37,,W19 
,E862.38,,W20 
,E862.39,,W21 
,E862.4,,W22 
,E862.40,,W23 
,E862.41,,W24 
,E862.42,,W25 
,E862.43,,W26 
,E862.44,,W27 
,E862.45,,W28 
,E862.46,,W29 
,E862.47,,W30 
,E862.48,,W31 
,E862.49,,W32 
,E862.9,,W33 
,E862.90,,W34 
,E862.91,,W341
,E862.92,,W342
,E862.93,,W343
,E862.94,,W344
,E862.95,,W349
,E862.96,,W35 
,E862.97,,W36 
,E862.98,,W37 
,E862.99,,W38 
,E863,,W39 
,E863.0,,W40 
,E863.00,,W41 
,E863.01,,W42 
,E863.02,,W43 
,E863.03,,W44 
,E863.04,,W45 
,E863.05,,W46 
