"cause","cause.sub","icd"
"Y498","Other external causes of injury",10
"Y499","Other external causes of injury",10
"Y509","Other external causes of injury",10
"Y513","Other external causes of injury",10
"Y515","Other external causes of injury",10
"Y517","Other external causes of injury",10
"Y518","Other external causes of injury",10
"Y519","Other external causes of injury",10
"Y520","Other external causes of injury",10
"Y521","Other external causes of injury",10
"Y522","Other external causes of injury",10
"Y523","Other external causes of injury",10
"Y524","Other external causes of injury",10
"Y525","Other external causes of injury",10
"Y526","Other external causes of injury",10
"Y527","Other external causes of injury",10
"Y529","Other external causes of injury",10
"Y530","Other external causes of injury",10
"Y531","Other external causes of injury",10
"Y533","Other external causes of injury",10
"Y534","Other external causes of injury",10
"Y535","Other external causes of injury",10
"Y536","Other external causes of injury",10
"Y538","Other external causes of injury",10
"Y539","Other external causes of injury",10
"Y540","Other external causes of injury",10
"Y543","Other external causes of injury",10
"Y544","Other external causes of injury",10
"Y545","Other external causes of injury",10
"Y546","Other external causes of injury",10
"Y548","Other external causes of injury",10
"Y549","Other external causes of injury",10
"Y550","Other external causes of injury",10
"Y551","Other external causes of injury",10
